(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(-inf; 2.85],0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(5.85; 9.0],(2.85; inf),1
(4.95; 5.85],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(-inf; 4.95],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(4.95; 5.85],(-inf; 2.85],1
(4.95; 5.85],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(4.95; 5.85],(-inf; 2.85],1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(4.95; 5.85],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(-inf; 2.85],1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(5.85; 9.0],(2.85; inf),1
(-inf; 4.95],(-inf; 2.85],0
(-inf; 4.95],(-inf; 2.85],1
(9.0; inf),(-inf; 2.85],0
(9.0; inf),(-inf; 2.85],1
(9.0; inf),(-inf; 2.85],1
(9.0; inf),(-inf; 2.85],3
(9.0; inf),(-inf; 2.85],4
